player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
"Woods, Robert",WR,HOU,NA,6.6,3.6,38,NA,NA,0.1,NA,0,NA,0,0,4.1,NA,NA,FantasySharks,11228,NOS,1,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer, Trey",WR,TBB,NA,4,2.3,20,NA,NA,0.3,NA,0,NA,0,0,4.1,NA,NA,FantasySharks,16199,DET,0.7,0.3,0,0,0,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hollins, Mack",WR,ATL,NA,5.2,2.6,33,NA,NA,0.1,NA,1,NA,0,0,3.9,NA,NA,FantasySharks,13289,WAS,0.5,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Elijah",WR,CLE,NA,6.1,3.7,37,NA,NA,0.1,NA,0,NA,0,0.1,3.9,NA,NA,FantasySharks,15288,SFO,0.4,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agholor, Nelson",WR,BAL,NA,3.3,2.4,30,NA,NA,0.2,NA,0,NA,0,0,3.9,NA,NA,FantasySharks,12181,@TEN,0.2,0,0.2,0,0,0,0,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mims, Marvin",WR,DEN,NA,2.6,1.6,31,NA,NA,0.1,NA,1,NA,0,0,3.9,NA,NA,FantasySharks,16189,@KCC,0.2,0,0,0,0,0,0.1,20,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burks, Treylon",WR,TEN,NA,4.8,2.5,33,NA,NA,0.1,NA,1,NA,0,0,3.8,NA,NA,FantasySharks,15752,BAL,0.5,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Skyy",WR,KCC,NA,3.9,2.1,28,NA,NA,0.1,NA,3,NA,0,0,3.7,NA,NA,FantasySharks,15766,DEN,0.4,0.1,0,0,0,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdes-Scantling, Marquez",WR,KCC,NA,4.2,2,29,NA,NA,0.1,NA,0,NA,0,0,3.7,NA,NA,FantasySharks,13793,DEN,0.6,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Michael",WR,ARI,NA,2.4,1.8,23,NA,NA,0.2,NA,0,NA,0,0,3.7,NA,NA,FantasySharks,16206,@LAR,0,0.1,0.1,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, Terrace",WR,CAR,NA,4.6,2.8,33,NA,NA,0,NA,1,NA,0,0,3.6,NA,NA,FantasySharks,15308,@MIA,0.4,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierce, Alec",WR,IND,NA,4.4,2.3,31,NA,NA,0.1,NA,0,NA,0,0,3.6,NA,NA,FantasySharks,15768,@JAC,0.4,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berrios, Braxton",WR,MIA,NA,3.2,2.4,26,NA,NA,0.1,NA,1,NA,0,0,3.5,NA,NA,FantasySharks,13638,CAR,0.3,0,0.1,0,0,0,0,21,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Brandon",WR,DEN,NA,2,1.2,14,NA,NA,0.3,NA,0,NA,0,0,3.2,NA,NA,FantasySharks,15987,@KCC,0.4,0.1,0.1,0,0,0,0.1,6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Van",WR,LAR,NA,4,1.9,25,NA,NA,0.1,NA,0,NA,0,0,3.2,NA,NA,FantasySharks,14858,ARI,0.3,0.1,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Powell, Brandon",WR,MIN,NA,4,2.8,30,NA,NA,0,NA,2,NA,0,0,3.2,NA,NA,FantasySharks,13910,@CHI,0.3,0,0,0,0,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Downs, Josh",WR,IND,NA,4.9,2.8,31,NA,NA,0,NA,0.1,NA,0,0,3.1,NA,NA,FantasySharks,16187,@JAC,0.4,0,0,0,0,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sherfield, Trent",WR,BUF,NA,3.4,2,20,NA,NA,0.1,NA,1,NA,0,0,2.9,NA,NA,FantasySharks,13893,NYG,0.5,0,0.1,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell, Parris",WR,NYG,NA,4.3,2.8,25,NA,NA,0,NA,2,NA,0,0,2.9,NA,NA,FantasySharks,14112,@BUF,0.5,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Wan'Dale",WR,NYG,NA,4.6,3,27,NA,NA,0,NA,0,NA,0,0,2.9,NA,NA,FantasySharks,15757,@BUF,0.2,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watson, Justin",WR,KCC,NA,2.5,1.4,28,NA,NA,0,NA,0,NA,0,0.1,2.8,NA,NA,FantasySharks,13776,DEN,0.2,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Chris",WR,TEN,NA,2.4,1.2,24,NA,NA,0.1,NA,0.1,NA,0,0,2.7,NA,NA,FantasySharks,12773,BAL,0.3,0,0.1,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duvernay, Devin",WR,BAL,NA,3,1.5,17,NA,NA,0.1,NA,6,NA,0,0,2.7,NA,NA,FantasySharks,14847,@TEN,0.4,0.1,0,0,0,0,0,16,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thompkins, Deven",WR,TBB,NA,3.3,2,16,NA,NA,0.1,NA,3,NA,0,0,2.6,NA,NA,FantasySharks,15977,DET,0.5,0.1,0,0,0,0,0,7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renfrow, Hunter",WR,LVR,NA,4,2.6,24,NA,NA,0.1,NA,0,NA,0,0,2.6,NA,NA,FantasySharks,14123,NEP,0.5,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zaccheaus, Olamide",WR,PHI,NA,2.9,1.5,18,NA,NA,0.1,NA,0,NA,0,0,2.6,NA,NA,FantasySharks,14592,@NYJ,0.3,0,0,0,0.1,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skowronek, Ben",WR,LAR,NA,3.3,1.8,21,NA,NA,0,NA,2,NA,0,0,2.4,NA,NA,FantasySharks,15491,ARI,0.3,0,0,0,0,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Marvin",WR,DET,NA,3.5,1.6,17,NA,NA,0.1,NA,0,NA,0,0,2.3,NA,NA,FantasySharks,10738,@TBB,0.7,0,0.1,0,0,0,0,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jennings, Jauan",WR,SFO,NA,2.4,1.5,21,NA,NA,0,NA,0,NA,0,0,2.3,NA,NA,FantasySharks,14860,@CLE,0.1,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thornton, Tyquan",WR,NEP,NA,3.9,1.9,19,NA,NA,0,NA,1,NA,0,0,2.2,NA,NA,FantasySharks,15787,@LVR,0.2,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beckham, Odell",WR,BAL,NA,4.2,1.9,19,NA,NA,0.1,NA,0,NA,0,0,2.2,NA,NA,FantasySharks,11679,@TEN,0.9,0.1,0,0,0,0,0,4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hodge, KhaDarel",WR,ATL,NA,2.1,1.5,18,NA,NA,0,NA,0,NA,0,0,2.2,NA,NA,FantasySharks,13963,WAS,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shenault, Laviska",WR,CAR,NA,1.5,1.2,10,NA,NA,0,NA,9,NA,0,0,2.1,NA,NA,FantasySharks,14838,@MIA,0.1,0,0,0,0,0,0,19,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Cedrick",WR,MIA,NA,2.3,1.7,21,NA,NA,0,NA,0,NA,0,0,2.1,NA,NA,FantasySharks,13652,CAR,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnston, Quentin",WR,LAC,NA,3.4,2.2,20,NA,NA,0,NA,0,NA,0,0,2,NA,NA,FantasySharks,16188,DAL,0.6,0,0,0,0,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Demarcus",WR,LAR,NA,3.5,2,17,NA,NA,0.1,NA,0,NA,0,0.1,2,NA,NA,FantasySharks,12785,ARI,0.4,0.1,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Noah",WR,HOU,NA,3.3,1.7,19,NA,NA,0,NA,1,NA,0,0,2,NA,NA,FantasySharks,13172,NOS,0.5,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Brown, Equanimeous",WR,CHI,NA,2.1,1.2,15,NA,NA,0.1,NA,1,NA,0,0,1.9,NA,NA,FantasySharks,13637,MIN,0.3,0,0,0,0,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irwin, Trenton",WR,CIN,NA,1.9,1.1,14,NA,NA,0.1,NA,0,NA,0,0,1.9,NA,NA,FantasySharks,14551,SEA,0.3,0,0,0,0,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardman, Mecole",WR,NYJ,NA,3.1,1.5,15,NA,NA,0.1,NA,1,NA,0,0,1.9,NA,NA,FantasySharks,14113,PHI,0.6,0.1,0,0,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dortch, Greg",WR,ARI,NA,2.2,1.5,13,NA,NA,0.1,NA,1,NA,0,0,1.8,NA,NA,FantasySharks,14108,@LAR,0.3,0.1,0,0,0,0,0,9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claypool, Chase",WR,MIA,NA,2.9,1.2,13,NA,NA,0.1,NA,1,NA,0,0,1.8,NA,NA,FantasySharks,14841,CAR,0.3,0,0,0.1,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metchie, John",WR,HOU,NA,2.3,1.6,17,NA,NA,0,NA,0,NA,0,0,1.8,NA,NA,FantasySharks,15759,NOS,0.3,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agnew, Jamal",WR,JAC,NA,2,1.4,12,NA,NA,0.1,NA,3,NA,0,0.1,1.8,NA,NA,FantasySharks,13308,IND,0.2,0.1,0,0,0,0,0,32,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Dyami",WR,WAS,NA,1.9,1,15,NA,NA,0,NA,0,NA,0,0,1.6,NA,NA,FantasySharks,15292,@ATL,0.2,0,0,0,0,0,0,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Velus",WR,CHI,NA,1.9,0.7,8,NA,NA,0.1,NA,2,NA,0.1,0,1.6,NA,NA,FantasySharks,15767,MIN,0.3,0.1,0,0,0,0,0,19,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turpin, KaVontae",WR,DAL,NA,0.7,0.5,3,NA,NA,0,NA,4,NA,0.1,0,1.6,NA,NA,FantasySharks,15981,@LAC,0.6,0,0,0,0,0,0,20,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKenzie, Isaiah",WR,IND,NA,2.2,1.2,10,NA,NA,0.1,NA,2,NA,0,0,1.6,NA,NA,FantasySharks,13313,@JAC,0.2,0,0,0,0,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tolbert, Jalen",WR,DAL,NA,3,1.5,14,NA,NA,0,NA,1,NA,0,0,1.5,NA,NA,FantasySharks,15788,@LAC,0.2,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bell, David",WR,CLE,NA,2.6,1.7,15,NA,NA,0,NA,0,NA,0,0,1.5,NA,NA,FantasySharks,15758,SFO,0.1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mingo, Jonathan",WR,CAR,NA,3.7,1.7,15,NA,NA,0,NA,1,NA,0,0,1.5,NA,NA,FantasySharks,16197,@MIA,0.1,0,0,0,0,0,0,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harty, Deonte",WR,BUF,NA,1.9,1.4,15,NA,NA,0,NA,0.1,NA,0,0,1.5,NA,NA,FantasySharks,14558,NYG,0.3,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pascal, Zach",WR,ARI,NA,1.8,1.1,13,NA,NA,0,NA,0,NA,0,0,1.4,NA,NA,FantasySharks,13488,@LAR,0.1,0,0,0,0,0,0,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shepard, Sterling",WR,NYG,NA,2.9,1.5,13,NA,NA,0,NA,-0.1,NA,0,0,1.3,NA,NA,FantasySharks,12658,@BUF,0.3,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goodwin, Marquise",WR,CLE,NA,2,0.8,9,NA,NA,0.1,NA,0,NA,0,0,1.3,NA,NA,FantasySharks,11239,SFO,0.1,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shakir, Khalil",WR,BUF,NA,1.4,0.8,10,NA,NA,0,NA,0,NA,0,0,1.1,NA,NA,FantasySharks,15761,NYG,0,0,0,0,0,0,0,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watkins, Quez",WR,PHI,NA,1.8,1.2,10,NA,NA,0,NA,0,NA,0,0.1,1.1,NA,NA,FantasySharks,14992,@NYJ,0.1,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Derius",WR,LAC,NA,1.6,1.1,9,NA,NA,0,NA,3,NA,0,0,1.1,NA,NA,FantasySharks,16299,DAL,0.2,0,0,0,0,0,0,8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boutte, Kayshon",WR,NEP,NA,2.8,1,12,NA,NA,0,NA,-0.2,NA,0,0.1,1.1,NA,NA,FantasySharks,16193,@LVR,0.3,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cobb, Randall",WR,NYJ,NA,2.3,1,9,NA,NA,0,NA,0,NA,0,0,1.1,NA,NA,FantasySharks,10308,PHI,0.5,0,0,0,0,0,0,5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carter, DeAndre",WR,LVR,NA,1.8,0.9,10,NA,NA,0,NA,0,NA,0,0,1,NA,NA,FantasySharks,12394,NEP,0.4,0,0,0,0,0,0,25,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McCloud, Ray-Ray",WR,SFO,NA,0.8,0.5,7,NA,NA,0,NA,1,NA,0,0,0.9,NA,NA,FantasySharks,13641,@CLE,0,0,0,0,0,0,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shorter, Justin",WR,BUF,NA,1.7,1.1,9,NA,NA,0,NA,0,NA,0,0,0.9,NA,NA,FantasySharks,16210,NYG,0.3,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miller, Scotty",WR,ATL,NA,1.8,1.1,8,NA,NA,0,NA,0,NA,0,0,0.8,NA,NA,FantasySharks,14280,WAS,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philips, Kyle",WR,TEN,NA,1.1,0.4,8,NA,NA,0,NA,0,NA,0,0,0.8,NA,NA,FantasySharks,15901,BAL,0.2,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pringle, Byron",WR,WAS,NA,1,0.6,6,NA,NA,0,NA,0,NA,0,0,0.8,NA,NA,FantasySharks,13863,@ATL,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyatt, Jalin",WR,NYG,NA,1.4,0.7,8,NA,NA,0,NA,0,NA,0,0,0.7,NA,NA,FantasySharks,16183,@BUF,0.1,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ross, Justyn",WR,KCC,NA,1.5,0.8,6,NA,NA,0,NA,0,NA,0,0,0.6,NA,NA,FantasySharks,15763,DEN,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bobo, Jake",WR,SEA,NA,1.5,0.6,4,NA,NA,0,NA,1,NA,0,0,0.6,NA,NA,FantasySharks,16393,@CIN,0.3,0,0,0,0,0,0,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorsett, Phillip",WR,DEN,NA,1.2,0.5,5,NA,NA,0,NA,0,NA,0,0,0.5,NA,NA,FantasySharks,12188,@KCC,0.1,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milne, Dax",WR,WAS,NA,0.6,0.3,3,NA,NA,0,NA,0.1,NA,0,0,0.4,NA,NA,FantasySharks,15326,@ATL,0.1,0,0,0,0,0,0,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirkwood, Keith",WR,NOS,NA,1,0.4,3,NA,NA,0,NA,0,NA,0,0,0.4,NA,NA,FantasySharks,13882,@HOU,0.2,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Douglas, Demario",WR,NEP,NA,1,0.3,4,NA,NA,0,NA,0,NA,0,0,0.4,NA,NA,FantasySharks,16342,@LVR,0.1,0,0,0,0,0,0,12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownlee, Jason",WR,NYJ,NA,1.3,0.2,3,NA,NA,0,NA,0,NA,0,0,0.3,NA,NA,FantasySharks,16423,PHI,0.2,0,0,0,0,0,0,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarrett, Rakim",WR,TBB,NA,0.9,0.6,3,NA,NA,0,NA,0.1,NA,0,0,0.3,NA,NA,FantasySharks,16198,DET,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Humphrey, Lil'Jordan",WR,DEN,NA,0.2,0.1,1,NA,NA,0,NA,0,NA,0,0,0.3,NA,NA,FantasySharks,14118,@KCC,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Trishton",WR,MIN,NA,0.3,0.2,2,NA,NA,0,NA,0,NA,0,0,0.3,NA,NA,FantasySharks,14859,@CHI,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray, Danny",WR,SFO,NA,0.6,0.1,2,NA,NA,0,NA,1,NA,0,0,0.2,NA,NA,FantasySharks,15782,@CLE,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hutchinson, Xavier",WR,HOU,NA,0.7,0.2,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,16201,NOS,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doss, Keelan",WR,LAC,NA,0.6,0.2,0,NA,NA,0,NA,1,NA,0,0,0.1,NA,NA,FantasySharks,14317,DAL,0,0,0,0,0,0,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Tre",WR,LVR,NA,0.3,0,0,NA,NA,0,NA,1,NA,0,0,0.1,NA,NA,FantasySharks,16287,NEP,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iosivas, Andrei",WR,CIN,NA,0.4,0.1,1,NA,NA,0,NA,-0.2,NA,0,0,0.1,NA,NA,FantasySharks,16207,SEA,0,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tillman, Cedric",WR,CLE,NA,1.3,0.1,1,NA,NA,0,NA,0,NA,0,0,0.1,NA,NA,FantasySharks,16191,SFO,0.3,0,0,0,0,0,0,8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthews, Jordan",WR,SFO,NA,0.4,0,0,NA,NA,0,NA,1,NA,0,0,0.1,NA,NA,FantasySharks,11676,@CLE,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyreek Hill,WR,MIA,NA,7,7,101.1,NA,NA,1,0.3,2.1,NA,0,0,16.33,NA,12197,FleaFlicker,12801,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,WR1,1,103.3,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,6.2,6.2,78.4,NA,NA,1,0.4,2.5,NA,0,0,16.19,NA,17779,FleaFlicker,16211,ARISun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,WR7,1,80.9,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
